1758442458.879323 server started (15738): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1758442458.879368 on Linux 6.8.0-79-generic #79-Ubuntu SMP PREEMPT_DYNAMIC Tue Aug 12 14:42:46 UTC 2025
1758442458.879382 using libevent 2.1.12-stable poll
1758442458.879390 using ncurses 6.4 20240113
1758442458.880044 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1758442458.880052 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1758442458.880059 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1758442458.880065 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1758442458.880073 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1758442458.880081 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1758442458.880088 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1758442458.880095 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1758442458.880102 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1758442458.880109 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1758442458.880117 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1758442458.880125 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1758442458.880131 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1758442458.880139 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1758442458.880145 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1758442458.880152 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1758442458.880160 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1758442458.880167 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1758442458.880174 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1758442458.880181 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1758442458.880188 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1758442458.880194 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1758442458.880201 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1758442458.880208 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1758442458.880216 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1758442458.880223 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1758442458.880230 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1758442458.880238 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1758442458.880245 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1758442458.880252 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1758442458.880259 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1758442458.880266 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1758442458.880273 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1758442458.880280 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1758442458.880288 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1758442458.880295 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1758442458.880302 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1758442458.880310 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1758442458.880317 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1758442458.880325 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1758442458.880332 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1758442458.880339 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1758442458.880347 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1758442458.880355 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1758442458.880362 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1758442458.880369 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1758442458.880377 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1758442458.880384 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1758442458.880391 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1758442458.880398 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1758442458.880406 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1758442458.880421 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1758442458.880429 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1758442458.880436 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1758442458.880444 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1758442458.880451 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1758442458.880458 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1758442458.880471 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1758442458.880479 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1758442458.880486 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1758442458.880493 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1758442458.880501 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1758442458.880508 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1758442458.880516 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1758442458.880523 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1758442458.880530 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1758442458.880538 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1758442458.880545 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1758442458.880552 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1758442458.880560 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1758442458.880567 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1758442458.880575 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1758442458.880582 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1758442458.880590 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1758442458.880597 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1758442458.880604 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1758442458.880611 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1758442458.880619 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1758442458.880627 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1758442458.880634 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1758442458.880641 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1758442458.880649 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1758442458.880656 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1758442458.880663 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1758442458.880671 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1758442458.880679 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1758442458.880686 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1758442458.880694 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1758442458.880701 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1758442458.880708 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1758442458.880716 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1758442458.880723 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1758442458.880731 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1758442458.880738 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1758442458.880746 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1758442458.880753 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1758442458.880760 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1758442458.880768 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1758442458.880776 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1758442458.880783 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1758442458.880790 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1758442458.880798 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1758442458.880806 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1758442458.880813 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1758442458.880820 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1758442458.880828 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1758442458.880844 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1758442458.880851 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1758442458.880859 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1758442458.880866 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1758442458.880879 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1758442458.880887 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1758442458.880918 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1758442458.880929 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1758442458.880938 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1758442458.880946 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1758442458.880954 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1758442458.880962 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1758442458.880969 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1758442458.880977 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1758442458.880984 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1758442458.880992 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1758442458.880999 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1758442458.881007 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1758442458.881014 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1758442458.881022 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1758442458.881029 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1758442458.881037 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1758442458.881044 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1758442458.881052 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1758442458.881059 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1758442458.881067 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1758442458.881074 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1758442458.881082 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1758442458.881089 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1758442458.881097 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1758442458.881104 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1758442458.881112 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1758442458.881119 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1758442458.881127 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1758442458.881135 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1758442458.881142 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1758442458.881150 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1758442458.881157 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1758442458.881165 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1758442458.881172 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1758442458.881180 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1758442458.881188 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1758442458.881201 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1758442458.881209 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1758442458.881217 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1758442458.881224 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1758442458.881255 yylex_token: end at WS
1758442458.881262 yylex_token: bind
1758442458.881270 yylex_token: end at WS
1758442458.881276 yylex_token: -N
1758442458.881285 yylex_token: end at WS
1758442458.881292 yylex_token: Send the prefix key
1758442458.881299 yylex_token: end at WS
1758442458.881305 yylex_token: C-b
1758442458.881313 yylex_token: end at WS
1758442458.881320 yylex_token: send-prefix
1758442458.881331 cmd_parse_build_commands 0:0: bind
1758442458.881346 cmd_parse_build_commands 0:1: -N
1758442458.881354 cmd_parse_build_commands 0:2: Send the prefix key
1758442458.881361 cmd_parse_build_commands 0:3: C-b
1758442458.881369 cmd_parse_build_commands 0:4 0:0: send-prefix
1758442458.881390 cmd_parse_build_commands 0:0: send-prefix
1758442458.881411 args_parse: flags end at 1 of 1
1758442458.881420 cmd_parse_build_commands: send-prefix
1758442458.881427 args_parse_flags: next -N
1758442458.881435 args_parse_flag_argument: -N = Send the prefix key
1758442458.881442 args_parse_flags: next C-b
1758442458.881449 args_parse: flags end at 3 of 5
1758442458.881456 args_parse: 3 = C-b (type STRING)
1758442458.881465 args_parse: 4 = send-prefix (type COMMANDS)
1758442458.881495 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1758442458.881505 cmdq_get_command: [bind-key/0x5fbe1f8e01b0] group 2
1758442458.881513 cmdq_append <global>: [bind-key/0x5fbe1f8e01b0]
1758442458.881522 yylex_token: end at WS
1758442458.881529 yylex_token: bind
1758442458.881536 yylex_token: end at WS
1758442458.881543 yylex_token: -N
1758442458.881551 yylex_token: end at WS
1758442458.881558 yylex_token: Rotate through the panes
1758442458.881565 yylex_token: end at WS
1758442458.881571 yylex_token: C-o
1758442458.881579 yylex_token: end at WS
1758442458.881585 yylex_token: rotate-window
1758442458.881594 cmd_parse_build_commands 0:0: bind
1758442458.881601 cmd_parse_build_commands 0:1: -N
1758442458.881608 cmd_parse_build_commands 0:2: Rotate through the panes
1758442458.881616 cmd_parse_build_commands 0:3: C-o
1758442458.881624 cmd_parse_build_commands 0:4 0:0: rotate-window
1758442458.881633 cmd_parse_build_commands 0:0: rotate-window
1758442458.881643 args_parse: flags end at 1 of 1
1758442458.881651 cmd_parse_build_commands: rotate-window
1758442458.881657 args_parse_flags: next -N
1758442458.881666 args_parse_flag_argument: -N = Rotate through the panes
1758442458.881672 args_parse_flags: next C-o
1758442458.881679 args_parse: flags end at 3 of 5
1758442458.881686 args_parse: 3 = C-o (type STRING)
1758442458.881694 args_parse: 4 = rotate-window (type COMMANDS)
1758442458.881708 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1758442458.881717 cmdq_get_command: [bind-key/0x5fbe1f8e0750] group 10
1758442458.881724 cmdq_append <global>: [bind-key/0x5fbe1f8e0750]
1758442458.881733 yylex_token: end at WS
1758442458.881740 yylex_token: bind
1758442458.881747 yylex_token: end at WS
1758442458.881753 yylex_token: -N
1758442458.881761 yylex_token: end at WS
1758442458.881769 yylex_token: Suspend the current client
1758442458.881776 yylex_token: end at WS
1758442458.881782 yylex_token: C-z
1758442458.881790 yylex_token: end at WS
1758442458.881796 yylex_token: suspend-client
1758442458.881805 cmd_parse_build_commands 0:0: bind
1758442458.881812 cmd_parse_build_commands 0:1: -N
1758442458.881819 cmd_parse_build_commands 0:2: Suspend the current client
1758442458.881826 cmd_parse_build_commands 0:3: C-z
1758442458.881834 cmd_parse_build_commands 0:4 0:0: suspend-client
1758442458.881842 cmd_parse_build_commands 0:0: suspend-client
1758442458.881854 args_parse: flags end at 1 of 1
1758442458.881862 cmd_parse_build_commands: suspend-client
1758442458.881868 args_parse_flags: next -N
1758442458.881876 args_parse_flag_argument: -N = Suspend the current client
1758442458.881882 args_parse_flags: next C-z
1758442458.881889 args_parse: flags end at 3 of 5
1758442458.881918 args_parse: 3 = C-z (type STRING)
1758442458.881931 args_parse: 4 = suspend-client (type COMMANDS)
1758442458.881947 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1758442458.881956 cmdq_get_command: [bind-key/0x5fbe1f8de2c0] group 18
1758442458.881963 cmdq_append <global>: [bind-key/0x5fbe1f8de2c0]
1758442458.881972 yylex_token: end at WS
1758442458.881979 yylex_token: bind
1758442458.881985 yylex_token: end at WS
1758442458.881992 yylex_token: -N
1758442458.882000 yylex_token: end at WS
1758442458.882007 yylex_token: Select next layout
1758442458.882023 yylex_token: end at WS
1758442458.882030 yylex_token: Space
1758442458.882037 yylex_token: end at WS
1758442458.882043 yylex_token: next-layout
1758442458.882052 cmd_parse_build_commands 0:0: bind
1758442458.882059 cmd_parse_build_commands 0:1: -N
1758442458.882066 cmd_parse_build_commands 0:2: Select next layout
1758442458.882073 cmd_parse_build_commands 0:3: Space
1758442458.882081 cmd_parse_build_commands 0:4 0:0: next-layout
1758442458.882089 cmd_parse_build_commands 0:0: next-layout
1758442458.882100 args_parse: flags end at 1 of 1
1758442458.882107 cmd_parse_build_commands: next-layout
1758442458.882114 args_parse_flags: next -N
1758442458.882121 args_parse_flag_argument: -N = Select next layout
1758442458.882128 args_parse_flags: next Space
1758442458.882135 args_parse: flags end at 3 of 5
1758442458.882142 args_parse: 3 = Space (type STRING)
1758442458.882149 args_parse: 4 = next-layout (type COMMANDS)
1758442458.882162 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1758442458.882170 cmdq_get_command: [bind-key/0x5fbe1f8deaa0] group 26
1758442458.882177 cmdq_append <global>: [bind-key/0x5fbe1f8deaa0]
1758442458.882187 yylex_token: end at WS
1758442458.882193 yylex_token: bind
1758442458.882200 yylex_token: end at WS
1758442458.882207 yylex_token: -N
1758442458.882215 yylex_token: end at WS
1758442458.882222 yylex_token: Break pane to a new window
1758442458.882229 yylex_token: end at WS
1758442458.882235 yylex_token: !
1758442458.882243 yylex_token: end at WS
1758442458.882250 yylex_token: break-pane
1758442458.882258 cmd_parse_build_commands 0:0: bind
1758442458.882265 cmd_parse_build_commands 0:1: -N
1758442458.882272 cmd_parse_build_commands 0:2: Break pane to a new window
1758442458.882279 cmd_parse_build_commands 0:3: !
1758442458.882286 cmd_parse_build_commands 0:4 0:0: break-pane
1758442458.882294 cmd_parse_build_commands 0:0: break-pane
1758442458.882303 args_parse: flags end at 1 of 1
1758442458.882310 cmd_parse_build_commands: break-pane
1758442458.882317 args_parse_flags: next -N
1758442458.882324 args_parse_flag_argument: -N = Break pane to a new window
1758442458.882331 args_parse_flags: next !
1758442458.882338 args_parse: flags end at 3 of 5
1758442458.882344 args_parse: 3 = ! (type STRING)
1758442458.882352 args_parse: 4 = break-pane (type COMMANDS)
1758442458.882364 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1758442458.882373 cmdq_get_command: [bind-key/0x5fbe1f8df150] group 34
1758442458.882380 cmdq_append <global>: [bind-key/0x5fbe1f8df150]
1758442458.882389 yylex_token: end at WS
1758442458.882395 yylex_token: bind
1758442458.882402 yylex_token: end at WS
1758442458.882409 yylex_token: -N
1758442458.882416 yylex_token: end at WS
1758442458.882422 yylex_token: Split window vertically
1758442458.882430 yylex_token: end at WS
1758442458.882436 yylex_token: "
1758442458.882444 yylex_token: end at WS
1758442458.882450 yylex_token: split-window
1758442458.882458 cmd_parse_build_commands 0:0: bind
1758442458.882465 cmd_parse_build_commands 0:1: -N
1758442458.882472 cmd_parse_build_commands 0:2: Split window vertically
1758442458.882479 cmd_parse_build_commands 0:3: "
1758442458.882487 cmd_parse_build_commands 0:4 0:0: split-window
1758442458.882495 cmd_parse_build_commands 0:0: split-window
1758442458.882506 args_parse: flags end at 1 of 1
1758442458.882514 cmd_parse_build_commands: split-window
1758442458.882521 args_parse_flags: next -N
1758442458.882528 args_parse_flag_argument: -N = Split window vertically
1758442458.882535 args_parse_flags: next "
1758442458.882542 args_parse: flags end at 3 of 5
1758442458.882550 args_parse: 3 = " (type STRING)
1758442458.882557 args_parse: 4 = split-window (type COMMANDS)
1758442458.882570 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1758442458.882578 cmdq_get_command: [bind-key/0x5fbe1f8e15d0] group 42
1758442458.882586 cmdq_append <global>: [bind-key/0x5fbe1f8e15d0]
1758442458.882594 yylex_token: end at WS
1758442458.882610 yylex_token: bind
1758442458.882617 yylex_token: end at WS
1758442458.882623 yylex_token: -N
1758442458.882631 yylex_token: end at WS
1758442458.882638 yylex_token: List all paste buffers
1758442458.882645 yylex_token: end at WS
1758442458.882651 yylex_token: #
1758442458.882659 yylex_token: end at WS
1758442458.882665 yylex_token: list-buffers
1758442458.882673 cmd_parse_build_commands 0:0: bind
1758442458.882680 cmd_parse_build_commands 0:1: -N
1758442458.882688 cmd_parse_build_commands 0:2: List all paste buffers
1758442458.882695 cmd_parse_build_commands 0:3: #
1758442458.882702 cmd_parse_build_commands 0:4 0:0: list-buffers
1758442458.882710 cmd_parse_build_commands 0:0: list-buffers
1758442458.882719 args_parse: flags end at 1 of 1
1758442458.882726 cmd_parse_build_commands: list-buffers
1758442458.882733 args_parse_flags: next -N
1758442458.882741 args_parse_flag_argument: -N = List all paste buffers
1758442458.882747 args_parse_flags: next #
1758442458.882754 args_parse: flags end at 3 of 5
1758442458.882761 args_parse: 3 = # (type STRING)
1758442458.882769 args_parse: 4 = list-buffers (type COMMANDS)
1758442458.882781 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1758442458.882790 cmdq_get_command: [bind-key/0x5fbe1f8e1e00] group 50
1758442458.882797 cmdq_append <global>: [bind-key/0x5fbe1f8e1e00]
1758442458.882808 yylex_token: end at WS
1758442458.882813 yylex_token: bind
1758442458.882819 yylex_token: end at WS
1758442458.882823 yylex_token: -N
1758442458.882830 yylex_token: end at WS
1758442458.882836 yylex_token: Rename current session
